Name,Purpose,Qty,Price (USD),Distributor,Link
PCB,the actual ruler,5,$2.61,JLCPCB,https://jlcpcb.com
TOTAL,,,$ 6.10,,
TOTAL (with tax & shipping),,,$ 12.60,,
